id	cite	CTaxa	RTaxa	RDenUnit
1	39835	[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.	Cyclops bicuspidatus Claus 1857	Panagrolaimus spp.	Individuals per arena
2	39835	[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.	Cyclops bicuspidatus Claus 1857	Panagrolaimus spp.	Individuals per arena
9	39836	[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.	Rhyacophila dorsalis (Curtis 1834)	Chironomus spp.	Individuals per arena
10	39836	[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.	Rhyacophila dorsalis (Curtis 1834)	Chironomus spp.	Individuals per arena
19	39837	[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.	Rhyacophila dorsalis (Curtis 1834)	Chironomus spp.	Individuals per arena
20	39837	[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.	Rhyacophila dorsalis (Curtis 1834)	Chironomus spp.	Individuals per arena
29	39838	[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.	Rhyacophila dorsalis (Curtis 1834)	Chironomus spp.	Individuals per arena
30	39838	[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.	Rhyacophila dorsalis (Curtis 1834)	Chironomus spp.	Individuals per arena
39	39839	[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.	Rhyacophila dorsalis (Curtis 1834)	Chironomus spp.	Individuals per arena
40	39839	[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.	Rhyacophila dorsalis (Curtis 1834)	Chironomus spp.	Individuals per arena
49	39840	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
50	39840	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
85	39841	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
86	39841	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
126	39842	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
127	39842	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
160	39843	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
161	39843	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
188	39844	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
189	39844	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
230	39845	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
231	39845	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
254	39846	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
255	39846	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
277	39847	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
278	39847	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
308	39848	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
309	39848	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
333	39849	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
334	39849	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
354	39850	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
355	39850	[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.	Salvelinus alpinus (Linnaeus 1758)	Daphnia longispina (O.F. Mller 1776)	Individuals per arena
373	39851	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
374	39851	Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.	Saduria entomon (Linnaeus 1758)	Monoporeia affinis Lindstrm 1855	Individuals per arena
