Temp.C	clade	substrate	replicate	SourceRef	Popn_DataUnit
5	Chryseobacterium balustinum	TSB	1	1	OD_595
5	Enterobacter sp	TSB	1	1	OD_595
5	Pantoea agglomerans	TSB	1	1	OD_595
5	Bacillus pumilus	TSB	1	1	OD_595
5	Clavibacter michiganensis	TSB	1	1	OD_595
5	Pseudomonas fluorescens	TSB	1	1	OD_595
5	Acinetobacter clacoaceticus	TSB	1	1	OD_595
5	Stenotrophomonas maltophilia	TSB	1	1	OD_595
5	Klebsiella pneumonia	TSB	1	1	OD_595
5	Dickeya zeae	TSB	1	1	OD_595
5	Pectobacterium carotovorum	TSB	1	1	OD_595
15	Chryseobacterium balustinum	TSB	1	1	OD_595
25	Chryseobacterium balustinum	TSB	1	1	OD_595
35	Chryseobacterium balustinum	TSB	1	1	OD_595
5	Tetraselmis tetrahele	ESAW	1	2	N
5	Tetraselmis tetrahele	ESAW	2	2	N
5	Tetraselmis tetrahele	ESAW	3	2	N
5	Tetraselmis tetrahele	ESAW	4	2	N
5	Tetraselmis tetrahele	ESAW	5	2	N
8	Tetraselmis tetrahele	ESAW	1	2	N
16	Tetraselmis tetrahele	ESAW	1	2	N
32	Tetraselmis tetrahele	ESAW	1	2	N
2	Staphylococcus sp	Raw Chicken Breast	1	3	CFU
4	Staphylococcus sp	Raw Chicken Breast	1	3	CFU
7	Staphylococcus sp	Raw Chicken Breast	1	3	CFU
10	Staphylococcus sp	Raw Chicken Breast	1	3	CFU
20	Staphylococcus sp	Raw Chicken Breast	1	3	CFU
2	Staphylococcus sp	Salted Chicken Breast	1	3	CFU
2	Staphylococcus sp	Cooked Chicken Breast	1	3	CFU
2	Pseudomonas sp	Raw Chicken Breast	1	3	CFU
2	Aerobic Psychotropic	Raw Chicken Breast	1	3	CFU
2	Aerobic Mesophilic	Raw Chicken Breast	1	3	CFU
8	Spoilage	Vacuum Beef Striploins	1	4	N
8	Escherichia coli	Vacuum Beef Striploins	1	4	N
8	Salmonella Typhimurium	Vacuum Beef Striploins	1	4	N
10	Spoilage	C02 Beef Striploins	1	4	N
12	Spoilage	Vacuum Beef Striploins	1	4	N
30	Spoilage	Vacuum Beef Striploins	1	4	N
6	Serratia marcescens	Pasteurised Skim Milk	1	5	N
6	Serratia marcescens	UHT Skim Milk	1	5	N
6	Serratia marcescens	Pasteurised Full-fat Milk	1	5	N
6	Serratia marcescens	UHT Full-fat Milk	1	5	N
6	Serratia marcescens	Pasteurised Double Cream	1	5	N
6	Serratia marcescens	UHT Double Cream	1	5	N
0	Arthrobacter sp	TGE agar	1	6	CFU
37	Arthrobacter sp	TGE agar	1	6	CFU
0	Arthrobacter aurescens	TGE agar	1	6	CFU
0	Arthrobacter citreus	TGE agar	1	6	CFU
0	Arthrobacter globiformis	TGE agar	1	6	CFU
0	Arthrobacter simplex	TGE agar	1	6	CFU
8	Lactobacillus plantarum	MRS broth	1	7	N
4	Weissella viridescens	MRS broth	1	7	N
4	Lactobacillus sakei	MRS broth	1	7	N
15	Oscillatoria agardhii	Z8	1	8	DryWeight
15	Pseudomonas sp	APT Broth	1	9	CFU
10	Lactobaciulus plantarum	MRS	1	10	N
