Temp.C,clade,substrate,replicate,SourceRef,Time.hr,Popn_Change,Popn_DataUnit
10,Lactobaciulus plantarum,MRS,1,Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.,345.07029166765,2934.02518500176,N
10,Lactobaciulus plantarum,MRS,1,Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.,320.900783443849,2517.07210322907,N
10,Lactobaciulus plantarum,MRS,1,Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.,314.290328480072,3434.28022121038,N
10,Lactobaciulus plantarum,MRS,1,Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.,310.74093848078,2329.70833347797,N
10,Lactobaciulus plantarum,MRS,1,Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.,294.645827925526,2420.95029467491,N
10,Lactobaciulus plantarum,MRS,1,Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.,288.766311914482,4212.10666156308,N
10,Lactobaciulus plantarum,MRS,1,Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.,291.282269863369,7072.42870947292,N
10,Lactobaciulus plantarum,MRS,1,Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.,285.32635627817,6751.33363193727,N
10,Lactobaciulus plantarum,MRS,1,Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.,263.911290322581,4049.15230689289,N
10,Lactobaciulus plantarum,MRS,1,Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.,266.286841918965,2255.91534731848,N
10,Lactobaciulus plantarum,MRS,1,Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.,270.494902895439,2403.41839041153,N
