,data,FeedingType,mean,median
1,Predator.Mass.g,insectivorous,5.57075,0.9585
2,Predator.Mass.g,piscivorous,19181.42434702,2900
3,Predator.Mass.g,planktivorous,2796.97195938687,0.0216
4,Predator.Mass.g,predacious,10431.6848345828,609
5,Predator.Mass.g,predacious/piscivorous,764.634782608696,590
6,Prey.Mass.g,insectivorous,0.111269125,0.0442
7,Prey.Mass.g,piscivorous,39.2207782482792,6.16
8,Prey.Mass.g,planktivorous,0.534151423090122,8.72e-07
9,Prey.Mass.g,predacious,13.9816173491183,0.218
10,Prey.Mass.g,predacious/piscivorous,21.8908024844721,13.6
11,Prey/Predator.Mass,insectivorous,0.169393090293328,0.0731837606837607
12,Prey/Predator.Mass,piscivorous,0.0339626295963747,0.00363636363636364
13,Prey/Predator.Mass,planktivorous,0.277309597045255,5.4054054054054e-05
14,Prey/Predator.Mass,predacious,0.0566180802762985,0.000250786323720015
15,Prey/Predator.Mass,predacious/piscivorous,0.0473234482936906,0.0244705882352941
16,log(Predator.Mass),insectivorous,-0.19768531886863,-0.155625491649087
17,log(Predator.Mass),piscivorous,7.71223438647515,7.97246601597457
18,log(Predator.Mass),planktivorous,-2.8444155291803,-3.83506196429202
19,log(Predator.Mass),predacious,4.77986971956941,6.4118182677099
20,log(Predator.Mass),predacious/piscivorous,6.06403752213459,6.38012253689976
21,log(Prey.Mass),insectivorous,-2.97649490953736,-3.11903048989848
22,log(Prey.Mass),piscivorous,1.63552827510992,1.81807677754543
23,log(Prey.Mass),planktivorous,-12.2973266641226,-13.9524764130374
24,log(Prey.Mass),predacious,-3.3992920045753,-1.52326021619305
25,log(Prey.Mass),predacious/piscivorous,2.41088614444964,2.61006979274201
26,log(Prey/Predator.Mass),insectivorous,-2.77880959066873,-2.6155823718929
27,log(Prey/Predator.Mass),piscivorous,-6.07670611136523,-5.61677109766657
28,log(Prey/Predator.Mass),planktivorous,-9.45291113494234,-9.82552601106642
29,log(Prey/Predator.Mass),predacious,-8.1791617241447,-8.29090937545023
30,log(Prey/Predator.Mass),predacious/piscivorous,-3.65315137768494,-3.71028336277709
