Species,Distance.m,Angle.degrees,Tree.Height.m
Populus tremula,31.6658337740228,41.2826361937914,27.80211614385359
Quercus robur,45.984992608428,44.5359166583512,45.24602506444045
Ginkgo biloba,31.2417666241527,25.1462585572153,14.665482810949326
Fraxinus excelsior,34.6166691975668,23.336126555223,14.934175166630416
Betula pendula,45.4661654261872,38.3491299510933,35.97035914125991
Betula pendula,48.7955017434433,33.5923089866992,32.41021336648746
Populus tremula,30.6472346419469,29.6680675458629,17.458243634414384
Fagus sylvatica,35.0619523832574,40.6805929599795,30.137380398709727
Quercus robur,39.9362466670573,26.9589176739100,20.312477887717684
Quercus robur,48.5709257051349,26.7028551246040,24.431663346693327
Carpinus betulus,41.3144933478907,33.6508165684063,27.502132337670187
Populus tremula,47.1975362300873,28.0572507053148,25.15590069826276
Populus tremula,35.4810611810535,39.6383204893209,29.392479642650443
Ginkgo biloba,34.8862405261025,38.9365267753601,28.18638717674296
Betula pendula,34.1105821775272,42.0246486656833,30.739887756046198
Alnus glutinosa,49.654958024621,38.6693715688307,39.737560514138835
Ginkgo biloba,40.5030490783975,31.3665648386814,24.69073613582394
Carpinus betulus,35.9443165874109,26.293636362534,17.759820660091798
Metasequoia glyptostroboides,41.7043626774102,26.5267517697066,20.817346335090157
Ginkgo biloba,37.3554195649922,43.1725008168723,35.04535002977614
Betula pendula,43.4749639127403,36.2327829515561,31.857079317849106
Fagus sylvatica,39.8774524684995,38.6918964318465,31.93860474887132
Populus tremula,31.2450212799013,23.340078931069,13.482149833013569
Quercus robur,35.9201506245881,42.8551055188291,33.32665231945985
Ginkgo biloba,49.6307160519063,31.3478059414774,30.232696012341368
Carpinus betulus,38.2067809579894,43.2579337025527,35.95132408576586
Pinus sylvestris,30.462764617987,35.7672338711563,21.9439670047572
Pinus sylvestris,44.3437174567953,42.6901407469995,40.905079021860864
Carpinus betulus,42.391633852385,26.0786303947680,20.747845362702364
Pinus sylvestris,49.7625944949687,35.1144014263991,34.992426651640635
Populus tremula,46.3471551518887,29.2238053563051,25.92782647096732
Fraxinus excelsior,48.8101416407153,30.1879840833135,28.394478693592827
Betula pendula,39.1205159528181,40.7153382652905,33.6671770907055
Pinus sylvestris,32.091398476623,33.0367860780098,20.86970326150091
Fraxinus excelsior,30.7957392046228,36.5876288549043,22.860619204944108
Fraxinus excelsior,39.4369949353859,36.0758849116974,28.73253429726921
Carpinus betulus,39.9332950264215,23.9536876312923,17.740785670528563
Quercus robur,47.7163779549301,31.0238172404934,28.697895494336695
Quercus robur,49.7508854558691,35.1251360541210,34.99812490216263
Metasequoia glyptostroboides,40.6481830682606,30.1389810792170,23.59988990701617
Alnus glutinosa,39.0966060291976,20.8493582543451,14.889960355374651
Betula pendula,38.8727945787832,22.9332405712921,16.44709432044467
Carpinus betulus,47.0151513628662,30.6295213452540,27.83738978211936
Alnus glutinosa,34.5093661732972,25.6323324737605,16.558068648933833
Populus tremula,32.0270016696304,30.7978246232960,19.09027666007484
Carpinus betulus,36.4183936547488,40.8025922765955,31.438389623260075
Alnus glutinosa,35.0219672126696,22.6937661168631,14.64552922255834
Ginkgo biloba,40.2515866607428,24.2476485599764,18.130030558549883
Alnus glutinosa,49.314148882404,24.237724567065,22.20169617844527
Pinus sylvestris,41.1222059605643,21.0549149999861,15.830573683852196
Alnus glutinosa,32.3566586244851,39.6630597871263,26.82779434398773
Populus tremula,39.0768380276859,28.8852869695984,21.55848290304367
Betula pendula,34.7624337533489,30.1337608066387,20.178453677661068
Populus tremula,41.9296419201419,40.5908210249618,35.92639924368804
Ginkgo biloba,36.9634854933247,42.9492065787781,34.407794803121995
Alnus glutinosa,44.7396824741736,28.3564685541205,24.146744735245107
Betula pendula,40.0541249988601,36.7069853108842,29.86302169274426
Carpinus betulus,42.3438745737076,22.6408458594233,17.66148155113756
Quercus robur,42.641541226767,27.5769322866108,22.2706037465808
Quercus robur,43.9628482470289,39.0075231716037,35.609971403310816
Carpinus betulus,31.7523087095469,41.3719389925245,27.96579975110394
Metasequoia glyptostroboides,36.7305195052177,25.2483093517367,17.321912758844125
Fagus sylvatica,35.2053026808426,26.6025140462443,17.631434506640375
