BirdID	Year	Tarsus	Bill	Wing	Mass	Sex	Sex
1	2002	16.89999962	NA	76	23.60000038	0	female
2	2001	16.79999924	NA	76	27.5	1	male
2	2002	17.20000076	NA	76	28.10000038	1	male
2	2003	17.5	13.5	76	27.75	1	male
2	2004	17.79999924	13.39999962	77	26.5	1	male
2	2004	17.70000076	13.10000038	78	26	1	male
2	2004	17.5	13.30000019	77	27.70000076	1	male
2	2004	17.79999924	13.10000038	77	26.60000038	1	male
2	2004	17.79999924	13.10000038	77	26.60000038	1	male
2	2005	17.70000076	13.30000019	77	26.60000038	1	male
2	2005	18	13.19999981	78	26.39999962	1	male
3	2001	15.69999981	NA	78	25.35000038	1	male
4	2002	18.79999924	NA	79	29.89999962	1	male
5	2002	17.70000076	NA	76	27.5	1	male
5	2003	18.10000038	12.5	76	29.25	1	male
5	2004	18	12.69999981	76	26.70000076	1	male
5	2004	18.20000076	13	75	25.70000076	1	male
5	2004	18	13	76	26.39999962	1	male
5	2004	18.29999924	13	77	27.79999924	1	male
5	2005	18.20000076	13.10000038	77	27.5	1	male
5	2005	18.10000038	12.69999981	76	27.10000038	1	male
5	2005	18.20000076	13	76	28.5	1	male
6	2006	17.89999962	14	77	26.70000076	1	male
6	2002	17.89999962	NA	75	29	1	male
6	2004	18.20000076	13.39999962	76	27.20000076	1	male
6	2005	NA	NA	NA	NA	1	male
6	2005	18.5	13.39999962	79	26.5	1	male
7	2003	18.5	13.39999962	79	26.5	1	male
7	2004	18.70000076	13.60000038	79	28	1	male
8	2002	19	NA	77	26.20000076	0	female
9	2002	18.5	NA	77	28	0	female
10	2001	17.89999962	NA	75	28.10000038	0	female
10	2003	18.79999924	13.89999962	75	25.5	0	female
10	2004	18.89999962	13.89999962	76	25.60000038	0	female
10	2004	NA	NA	NA	NA	0	female
11	2002	18.29999924	NA	75	26.39999962	0	female
11	2002	18.20000076	NA	76	26.89999962	0	female
12	2002	18.5	NA	76	28.10000038	0	female
13	2002	19.10000038	NA	76	30.60000038	0	female
13	2003	19	12.89999962	75	27.75	0	female
13	2003	19	12.39999962	75	34.5	0	female
13	2004	19.29999924	13	76	28.5	0	female
13	2004	19.20000076	12.30000019	76	28	0	female
14	2002	18.20000076	NA	76	30.10000038	1	male
15	2002	18	NA	76	25.89999962	0	female
15	2003	18	13.10000038	76	27.5	0	female
15	2003	18.20000076	13	76	29	0	female
15	2003	18.29999924	13.60000038	76	26.75	0	female
15	2004	18.10000038	13.80000019	78	27	0	female
15	2004	NA	NA	NA	26.5	0	female
15	2005	18.5	13.5	77	27	0	female
15	2006	18.29999924	13.5	77	NA	0	female
16	2006	18	13.19999981	78	25.29999924	1	male
16	2007	18.39999962	13.5	78	25.20000076	1	male
16	2002	17.5	NA	77	25.60000038	1	male
16	2004	18.20000076	13.80000019	78	25.39999962	1	male
16	2004	18.10000038	13.39999962	78	28.60000038	1	male
16	2005	18.29999924	13.69999981	78	26	1	male
16	2005	18.29999924	13.19999981	78	27.20000076	1	male
17	2002	16.60000038	NA	76	26.39999962	0	female
18	2002	18	NA	74	26.89999962	1	male
19	2002	17.10000038	NA	76	24.79999924	0	female
19	2003	17	13.5	75	24.25	0	female
20	2002	18.39999962	NA	76	27.39999962	0	female
20	2004	19.20000076	13	76	27	0	female
20	2004	19.10000038	13.30000019	78	27.79999924	0	female
20	2004	19.10000038	12.5	78	30.79999924	0	female
20	2005	19	13	79	28.89999962	0	female
21	2001	15	NA	76	25.89999962	0	female
21	2001	15.39999962	NA	77	25.60000038	0	female
21	2002	16.39999962	NA	75	25.20000076	0	female
22	2003	18.70000076	14.5	76	27.75	0	female
23	2001	18.89999962	NA	79	27.70000076	0	female
24	2002	18.60000038	NA	78	30.39999962	1	male
24	2003	18.5	14.19999981	80	28.75	1	male
25	2002	18.60000038	NA	78	30.5	0	female
25	2002	19.25	NA	79	30.35000038	0	female
26	2004	19.79999924	13.89999962	80	28.89999962	1	male
26	2004	20	14	80	31	1	male
27	2006	17.89999962	13.60000038	81	26.29999924	1	male
