StudentID	Tarsus	Leg	BillWidth	Group	Handedness
JC7394	17.8	right	5.6	A	R
JC7394	17.4	left	5.6	A	R
JC7394	17.9	right	5.6	A	R
AF151093	22.4	right	7.2	A	L
AF151093	16.2	right	5.8	A	L
AF151093	16.6	right	6.5	A	L
AH2912	19.5	left	6.8	B	R
AH2912	18.7	left	6.4	B	R
Ak70593	14.5	left	7.5	A	R
AK70593	14.9	left	7.5	A	R
AL0109	18.1	left	6.8	B	R
AR0408	17.9	left	5.9	B	A
AR0408	15.9	right	5.3	B	A
AR1310	17.1	right	6.2	A	R
ASR0312	15	right	5	B	R
ASR0312	15.7	right	9	B	R
BC1603	19.45	left	6.2	A	R
cd1302	20.5	right	6.9	B	R
cd1302	21	right	7.4	B	R
CHT2404	19.7	left	5.9	A	R
CHT2404	18.2	left	5.8	A	R
cm2807	20.6	left	6.1	A	R
cm2807	20.2	left	5.6	A	R
CP0409	18.5	left	5.9	B	R
CP0409	18.3	left	5.8	B	R
CT0905	20.36	right	5.4	A	R
CW2102	23	right	7.2	B	R
CW2102	23	right	7.1	B	R
DM3107	20.8	left	6.3	B	R
DM3107	19.9	left	6.3	B	R
DS1508	19.6	right	6.4	B	R
DS1508	19.6	right	7.2	B	R
EF2202	16.1	left	5.5	B	R
EF2202	15.4	right	6.9	B	R
EJM2408	19.5	left	6.8	B	R
EJM2408	19.7	left	6.7	B	R
EM2006	20.6	right	7.3	B	L
EM2006	20.5	right	6.2	B	L
emd2016	17.8	left	7	A	R
EW2402	21.6	left	5.6	B	R
EW2402	21.6	left	5.7	B	R
EW2810	23	left	9	B	R
EW2810	22	right	8	B	R
FAH1607	18	right	7.8	A	R
FDA2312	18.4	right	7.6	A	R
FDA2312	16.8	right	7.3	A	R
FHW1607	18.3	right	7.8	A	R
FHW1607	17.7	right	7.6	A	R
FTT1408	15.2	left	7.9	A	R
HH0208	19.2	left	7.9	A	R
HL3103	18.5	left	6	B	R
HL3103	21	left	6.7	B	R
HP0801	17.4	right	7.2	A	R
HY0712	20.4	left	6	B	R
HY0712	21.3	left	5.9	B	R
JB0207	21.3	left	6.2	A	R
JB0903	18.4	right	7	B	R
JB0903	18.8	right	7.8	B	R
JB1904	19.2	left	7	A	R
JB1904	19	left	7.2	A	R
JB1904	19.6	left	7.6	A	R
JB1904	14	left	7.4	A	R
JC1409	14.4	left	6.4	B	L
JC1409	14.1	left	6.2	B	L
JC1409	21.3	left	6.2	B	L
jc2709	19	left	6.9	A	R
jc2709	18.6	left	7	A	R
JC7394	17.1	left	6.2	A	R
jlp16	23	left	7	B	R
jlp16	23	left	7	B	R
JP0804	18	left	7.5	B	R
JP0804	18.3	right	8.2	A	R
JP0810	18.2	left	6.3	B	A
JP0810	18.6	left	6.3	B	L
JRD0602	16.6	left	6.8	A	R
JRD0602	16.9	left	6.6	A	R
JS2505	18.3	right	6.3	B	L
JS2505	18.5	right	6.3	A	L
JS2505	18.3	right	6.3	A	L
JW120595	16.9	right	6.6	A	R
JW120595	16.9	right	6.3	A	R
KB0402	16.1	right	6.1	A	R
KB0402	15.7	right	6.2	A	R
KH0906	19.6	left	7.3	B	R
KH0906	18.6	right	7.6	B	R
KH0906	21.6	right	7	B	R
KH0906	21.4	left	7.7	B	R
KI1604	21.6	right	6.1	B	R
KI1604	21.5	right	6.5	B	R
KI1604	21.8	right	6	B	R
KJF3110	17.7	left	6.7	B	R
KJF3110	19.2	left	6.7	B	R
KT2804	18.9	right	6.2	A	R
KV1303	21.5	left	9	B	R
KV1303	19.5	left	8	B	R
KW1102	18.8	left	6.5	B	R
KW1102	19.1	left	6.4	B	R
LF1201	18.4	right	7	A	R
LF1201	15.9	left	7.1	A	R
LR1305	21.8	left	7.2	B	R
LR1305	21.3	right	7.3	B	R
MB1301	19.2	left	7	A	R
MG1011	18.3	left	7.1	B	L
MG1011	18.8	left	7	B	L
MP0501	17	left	8	B	R
MP0501	20	right	7	B	R
MP0501	18	right	8	B	R
MP0501	19	left	7	B	R
MS0706	20.5	left	7.9	B	R
MS0706	20.4	left	8	B	R
MT2703	16.5	right	5.1	A	R
MT2703	16.4	right	5	A	R
NB2709	20.2	left	8.1	B	R
ND0405	21.4	right	6.8	B	R
ND0405	21.4	right	6.9	B	R
nd2311	17.8	right	7.2	A	R
NT3003	19.4	left	6.6	B	R
NT3003	18.7	left	6.4	B	R
PJ1709	15.9	right	5.2	B	R
PJ1709	15.9	right	5.1	B	R
RA0893	15.5	right	5.6	A	R
RA0893	16.3	right	6.8	A	R
RCS1405	19.4	left	5.1	B	R
RCS1405	21.3	right	6	B	R
RD5993	18.5	left	6.6	A	R
RD5993	18.6	left	6.2	A	R
RD5993	18.5	left	5.8	A	R
RD5993	18.2	left	6.5	A	R
RG0101	21.6	right	6.3	A	R
RG0101	20.5	right	5.7	A	R
RJC2211	20.3	left	7	B	A
RM1993	19.2	right	6.6	A	R
RR2505	20.7	left	8.9	B	L
RR2505	21.8	right	7	B	L
SB0709	16	right	6	B	R
SB1594	20.9	right	6.8	B	L
SE0602	19.3	left	6.9	B	R
SE0602	18.4	left	7.4	B	R
SE1416	18.7	left	6.9	B	R
SG1507	14	left	8.6	A	L
SG1507	14.5	right	7.9	A	L
SG2912	18.9	right	7.4	B	R
SG2912	21.3	right	6.9	B	R
SM2407	16.4	left	5.6	A	R
sr3316	17.8	left	5.2	A	R
TB2109	16.7	right	9	A	R
TB2109	19.8	left	6.8	A	R
TB2109	19.6	right	6.7	A	R
WSN1912	16.3	right	6.7	A	R
WSN1912	15.9	right	6.4	A	R
WZ0709	17.7	left	5.1	A	R
