run,size,NumGeneration,BurnIn
1,500,81633,4000
2,1000,18806,8000
3,2500,2331,20000
4,5000,433,40000
5,500,80872,4000
6,1000,18865,8000
7,2500,2385,20000
8,5000,403,40000
9,500,65812,4000
10,1000,14519,8000
11,2500,1847,20000
12,5000,474,40000
13,500,100259,4000
14,1000,23032,8000
15,2500,2802,20000
16,5000,505,40000
17,500,100455,4000
18,1000,22863,8000
19,2500,2776,20000
20,5000,505,40000
21,500,98127,4000
22,1000,22832,8000
23,2500,2765,20000
24,5000,503,40000
25,500,99825,4000
26,1000,22685,8000
27,2500,2752,20000
28,5000,505,40000
29,500,98327,4000
30,1000,22503,8000
31,2500,2727,20000
32,5000,642,40000
33,500,132066,4000
34,1000,20878,8000
35,2500,2553,20000
36,5000,471,40000
37,500,93384,4000
38,1000,21355,8000
39,2500,2574,20000
40,5000,469,40000
41,500,130149,4000
42,1000,30269,8000
43,2500,3546,20000
44,5000,570,40000
45,500,105075,4000
46,1000,24337,8000
47,2500,2858,20000
48,5000,522,40000
49,500,128415,4000
50,1000,29269,8000
51,2500,3429,20000
52,5000,614,40000
53,500,128261,4000
54,1000,29407,8000
55,2500,3467,20000
56,5000,611,40000
57,500,95603,4000
58,1000,22137,8000
59,2500,2423,20000
60,5000,454,40000
61,500,86712,4000
62,1000,19600,8000
63,2500,2468,20000
64,5000,458,40000
65,500,85778,4000
66,1000,19680,8000
67,2500,2716,20000
68,5000,504,40000
69,500,101503,4000
70,1000,23556,8000
71,2500,2803,20000
72,5000,511,40000
73,500,98068,4000
74,1000,23377,8000
75,2500,2729,20000
76,5000,498,40000
77,500,96402,4000
78,1000,22299,8000
79,2500,2694,20000
80,5000,498,40000
81,500,98523,4000
82,1000,22398,8000
83,2500,2792,20000
84,5000,507,40000
85,500,98641,4000
86,1000,23698,8000
87,2500,2776,20000
88,5000,529,40000
89,500,103913,4000
90,1000,22941,8000
91,2500,2622,20000
92,5000,485,40000
93,500,86211,4000
94,1000,19994,8000
95,2500,2464,20000
96,5000,464,40000
97,500,85314,4000
98,1000,20103,8000
99,2500,2460,20000
100,5000,463,40000
